鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路６４０巷１９２號八樓之２,30.94,住,,,1070201,土地3建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050930,158.31,3,2,2,有,有,9680000,64742,坡道平面,28.1,1250000,,RPOPMLNKKHNFFAO58CA,75.26,2.99,10.29,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路６４０巷１９２號十樓之３,24.15,住,,,1070201,土地3建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050930,129.8,2,2,1,有,有,7800000,64897,坡道平面,28.1,1200000,,RPPPMLNKKHNFFAO68CA,59.5,1.75,7.91,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路６４０巷１９６號七樓之５,24.15,住,,,1070129,土地3建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050930,129.8,2,2,1,有,有,7680000,63225,坡道平面,28.1,1250000,,RPQPMLNKKHNFFAO78CA,59.5,1.75,7.91,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中山路６４０巷１９８號二樓之２,32.11,住,,,1070129,土地3建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050930,163.27,3,2,2,有,有,11500000,76200,坡道平面,28.1,1200000,,RPRPMLNKKHNFFAO88CA,81.24,0,10.68,,
新竹市,土地,富山段46地號,10.05,,鄉村區,乙種建築用地,1070130,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,459000,45672,,0,0,,RPUPMLNKKHNFFAO56CA,0,0,0,,
新竹市,土地,樹下段105地號,72.25,,特定農業區,甲種建築用地,1070124,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2841358,39327,,0,0,,RPPRMLNKKHNFFAO88CA,0,0,0,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段７１巷８號,14.62,住,,,1070122,土地1建物1車位0,一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821213,100.07,3,2,2,有,有,5500000,54962,,0,0,,RPURMLNKKHNFFAO76CA,71.13,10.49,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市志平路１１２號六樓之１,103.4,,山坡地保育區,丙種建築用地,1070107,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,960716,279.09,4,2,3,有,有,15660000,56111,坡道平面,30.59,0,增建:陽台外推,RPOOMLOKKHNFFAO58CA,174.74,4.72,18.34,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路四段２９０號九樓之６,24.8,住,,,1070128,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,990625,166.37,3,2,2,有,有,6800000,40873,坡道平面,0,0,,RPPOMLQLKHNFFAO98CA,82.65,3.62,9.35,,
新竹市,土地,南興段443-7地號,2755.12,,山坡地保育區,農牧用地,1070104,土地3建物0車位0,,,其他,,,,0,0,0,0,有,有,6870000,2494,,0,0,,RPPNMLMJLHNFFAO38CA,0,0,0,,
新竹市,房地(土地+建物),新竹市新竹市湳中街３０巷１８號,80.12,住,,,1070123,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060522,270.39,4,2,6,有,有,26600000,98376,,0,0,,RPWNMLMJLHNFFAO09CA,236.21,14.27,19.91,,
新竹市,房地(土地+建物)+車位,新竹市新竹市慈雲路137號十九樓之3,15.2,商,,,1070102,土地1建物1車位1,十九層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031208,189.68,3,2,2,有,有,14280000,75285,坡道平面,0,0,,RPUPMLMJLHNFFAO09CA,96.37,3.68,7.9,,
新竹市,房地(土地+建物),新竹市新竹市富群街48號,187.43,,山坡地保育區,丙種建築用地,1070112,土地5建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,850205,253.25,5,3,4,有,有,10250000,40474,,0,0,,RPTNMLRJLHNFFAO66CA,215.68,15.06,16.95,,
新竹市,房地(土地+建物),新竹市新竹市中正路３５號,127,商,,,1061231,土地5建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,310715,212.1,0,0,0,無,無,88000000,414899,,0,0,一樓作店面使用。,RPTNMLNJMHNFFAO56EA,212.1,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市東園街５３號八樓之３,22.57,其他,,,1070131,土地1建物1車位2,八層，見其他登記事項,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1050902,114.4,2,2,2,有,無,9500000,78670,坡道機械,13.98,1600000,,RPRPMLQKLHNFFAO86EA,57.73,8.97,5.71,,
新竹市,土地,新雅段240-3地號,379.72,,特定農業區,丁種建築用地,1061223,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,16680000,43927,,0,0,本買賣土地上現有簡易車棚鐵皮依現況點交,RPUNMLLMLHNFFAO66EA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市水田街１４１巷１６號三樓之１,43.5,住,,,1061230,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060421,142.22,3,2,2,有,無,10050000,70665,一樓平面,0,0,,RPTNMLMKLHOFFAO56EA,73.31,13.17,7.57,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路一段２８９號四樓之５,19.79,商,,,1070124,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021211,163.82,3,2,2,有,有,9360000,57136,坡道平面,0,0,,RPROMLOKKHNFFAO09EA,81.57,0,11.69,,
新竹市,房地(土地+建物),新竹市新竹市林森路２７５號１７樓之７,3.93,商,,,1070126,土地1建物1車位0,十七層,十七層,套房(1房1廳1衛),辦公室,鋼筋混凝土造,860520,48.81,1,1,1,有,有,2470000,50604,,0,0,,RPTOMLOKKHNFFAO66EA,28.28,1.13,4.48,,
新竹市,房地(土地+建物),新竹市新竹市金竹路１０２巷８之１９號四樓,10.27,住,,,1070122,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,810331,43.46,1,0,1,有,有,1380000,31753,,0,0,增建:陽台加窗,RPPNMLPJLHNFFAO68CA,26.78,0,4.32,,
新竹市,房地(土地+建物)+車位,新竹市新竹市仁義街２８號十四樓,51.11,住,,,1070126,土地1建物1車位2,十四層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020826,400.09,5,2,4,有,有,38280000,95678,坡道平面,0,3600000,車位總價中無法拆分個別車位價格,RPWNMLPJLHNFFAO76CA,195.72,12.52,22.2,,
新竹市,房地(土地+建物),新竹市新竹市和平路１３９巷２之２號,77.5,,鄉村區,乙種建築用地,1061229,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,980507,221,4,3,3,有,無,16500000,74661,,0,0,,RPSOMLSJLHNFFAO76CA,195.73,0,25.27,,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路二段２８７號１３樓之２及光復路二段２８７號13樓之3,61.57,住,,,1070107,土地1建物2車位4,十三層,十七層,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,891018,563.36,0,1,0,有,有,29000000,51477,坡道平面,0,0,增建:陽台外推,RPWNMLOJLHNFFAO66CA,302.27,0,38.85,,
新竹市,房地(土地+建物),新竹市新竹市中央路３３１巷１３號２樓,26.19,住,,,1070126,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660401,60.37,3,1,3,有,無,2500000,41411,,0,0,,RPPOMLLJLHNFFAO38CA,60.37,0,0,,
新竹市,土地,士林段103地號,143.88,,鄉村區,乙種建築用地,1070119,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,13923200,96770,,0,0,,RPUOMLSLKHNFFAO07CA,0,0,0,,
新竹市,房地(土地+建物),新竹市新竹市經國路二段216號4樓之3,5.1,其他,,,1061230,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,841101,53.34,1,1,1,有,有,2750000,51556,,0,0,,RPRNMLSLKHNFFAO66CA,36.75,0,8.95,,
新竹市,房地(土地+建物),新竹市新竹市光復路一段４７２號１２樓之１,5.22,住,,,1070105,土地4建物1車位0,十二層,十三層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,840925,38.71,1,1,1,有,有,1550000,40041,,0,0,,RPTNMLNLKHNFFAO98CA,23.12,0,5.1,,
新竹市,房地(土地+建物),新竹市新竹市建功一路５９巷８號９樓之１,28.66,住,,,1061027,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,890930,141.21,3,2,2,有,有,9180000,65010,,0,0,含增建或未登記建物。,RPPNMLPLKHNFFAO78CA,85.68,0,11.05,,
新竹市,房地(土地+建物)+車位,新竹市新竹市光復路一段８９巷１１１號,7.13,住,,,1070103,土地3建物1車位1,一層,十四層,店面(店鋪),住商用,鋼筋混凝土造,880121,77.61,0,0,0,無,有,6250000,80531,坡道平面,0,0,,RPVOMLRLKHNFFAO07CA,34.26,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市南大路６３８號５樓,20.22,其他,,,1061231,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,851119,137.58,3,2,2,有,有,7000000,50879,坡道機械,0,0,,RPVOMLOKKHNFFAO66CA,84.11,0,9.31,,
新竹市,土地,舊社段174-21地號,207,住,,,1061231,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,21162180,102233,,0,0,,RPSQMLNKKHNFFAO09CA,0,0,0,,
新竹市,土地,光武段1139地號,199.97,住,,,1070205,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,36300000,181527,,0,0,增值稅新台幣3090768元由買方繳納。,RPPOMLMLKHNFFAO58CA,0,0,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市中華路四段２７０巷２５弄２９號三樓,36.43,住,,,1061231,土地1建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,920422,172.47,3,2,2,有,有,7000000,40587,坡道平面,0,0,,RPXNMLNLKHNFFAO76CA,86.43,0,10.37,,
新竹市,房地(土地+建物),新竹市新竹市自由路９５巷１８弄１９號八樓之２,5.69,商,,,1070107,土地1建物1車位0,八層,八層,套房(1房1廳1衛),辦公室,鋼筋混凝土造,950415,36.45,1,1,1,有,有,3000000,82305,,0,0,,RPOOMLNLKHNFFAO58CA,14.09,0,10.08,,
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路２７０號二樓,23.16,住,,,1061231,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060519,100.94,2,2,2,有,無,8300000,82227,坡道機械,7,0,,RPOQMLMKLHNFFAO68CA,52.62,3.71,2.56,,
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路２６８號二樓,23.61,住,,,1061230,土地1建物1車位1,二層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060519,102.64,2,2,2,有,無,9300000,88875,坡道機械,7,800000,,RPQQMLMKLHNFFAO88CA,48.1,7.46,4.84,,
新竹市,房地(土地+建物)+車位,新竹市新竹市龍山東路２７０號九樓,16.74,住,,,1061230,土地1建物1車位1,九層，見其他登記事項,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1060519,76.87,2,2,2,有,無,9200000,120223,坡道機械,7,800000,,RPTQMLMKLHNFFAO56CA,30.46,9.41,0,,
新竹市,房地(土地+建物)+車位,新竹市新竹市江山街２０巷１號十樓之３,14,商,,,1070130,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060609,121.83,3,2,2,有,無,9000000,73873,坡道機械,10.99,0,,RPXOMLNKLHNFFAO86CA,57.1,7.98,5.76,,
新竹市,房地(土地+建物)+車位,新竹市新竹市牛埔東路２４７號７樓之２４,12.19,其他,,,1061223,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,850926,159.16,3,2,2,有,有,5200000,32672,坡道平面,0,0,,RPPNMLPKLHNFFAO78CA,102.22,0,8.8,,
新竹市,房地(土地+建物),新竹市新竹市花園街５１巷７號５樓,25.3,其他,,,1061230,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,721108,89.31,4,4,4,有,無,4200000,47027,,0,0,,RPPOMLNKLHNFFAO68CA,68.6,0,8.55,,
新竹市,房地(土地+建物),新竹市新竹市中山路６４０巷２３７之３號,95.62,住,,,1070107,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,980928,265.68,4,3,4,有,無,15660000,58943,,0,0,含增建或未登記建物。,RPSNMLLKLHNFFAO68CA,226.14,0,39.54,,
