鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
竹北市,房地(土地+建物)+車位,新竹縣竹北市仁愛街９４巷２號三樓,20.89,住,,,1070929,土地4建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,861117,111.23,3,2,2,有,有,4700000,42255,坡道機械,0,0,,RPROMLNKJINFFBJ38CA,68.22,0,7.89,,
竹北市,房地(土地+建物),新竹縣竹北市溪州路358巷85弄3號,95.24,,特定農業區,甲種建築用地,1070904,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,900925,206.19,4,2,4,有,無,9600000,46559,,0,0,親友、員工或其他特殊關係間之交易。；,RPXOMLOKJINFFBJ09CA,183.65,5.64,16.9,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段３９６號五樓之二,31.82,住,,,1070916,土地1建物1車位2,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050606,208.57,3,2,2,有,有,12080000,62761,坡道平面,57.52,2600000,,RPTOMLTKJINFFBJ56CA,90.43,2.1,10.18,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段３９６號三樓之三,22.94,住,,,1071006,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050606,137.73,2,2,1,有,有,8800000,68826,坡道平面,28.76,1300000,,RPVOMLTKJINFFBJ76CA,63.81,1.54,8.75,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段３９８號四樓之一,31.82,住,,,1070902,土地1建物1車位2,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050606,208.57,3,2,2,有,有,14660000,80172,坡道平面,57.52,2550000,,RPWOMLTKJINFFBJ86CA,90.43,2.1,10.18,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段３９８號九樓之一,31.82,住,,,1070807,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050606,208.57,3,2,2,有,有,15000000,80768,坡道平面,57.52,2800000,,RPOPMLTKJINFFBJ78CA,90.43,2.1,10.18,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段３９８號十四樓之三,22.94,住,,,1071003,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050606,137.82,2,2,1,有,有,10400000,82982,坡道平面,28.76,1350000,,RPQPMLTKJINFFBJ98CA,63.87,1.54,8.75,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市東興路一段３９８號十四樓之五,22.94,住,,,1071004,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050606,137.73,2,2,1,有,有,10500000,83509,坡道平面,28.76,1400000,,RPSPMLTKJINFFBJ56CA,63.81,1.54,8.75,,
關西鎮,車位,新竹縣關西鎮中山東路16號等公共設施,3.3,商,,,1071003,土地0建物0車位1,,,其他,,,,29.89,0,0,0,有,有,800000,,坡道平面,29.89,800000,單獨車位交易。；,RPVRMLQLJINFFBJ86CA,0,0,0,,
關西鎮,車位,新竹縣關西鎮中山東路16號等公共設施,5.08,商,,,1071003,土地0建物0車位1,,,其他,,,,45.61,0,0,0,有,有,850000,,坡道平面,45.61,850000,單獨車位交易。；,RPVSMLQLJINFFBJ96CA,0,0,0,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市嘉仁街５０號三樓,27.76,住,,,1070911,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961012,177.16,3,2,2,有,有,9280000,52382,坡道平面,22.61,0,,RPWPMLTLJINFFBJ07CA,94.89,9.35,11.41,,
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路三段３７巷２０號十四樓,35.52,住,,,1070914,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010504,218.92,3,2,2,有,有,13750000,62808,坡道平面,62.82,0,,RPQOMLKKKINFFBJ08CA,89.08,10.45,9.42,,
竹東鎮,房地(土地+建物),新竹縣竹東鎮竹中路８４號,88.22,住,,,1071020,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,,172.32,6,2,3,有,無,10800000,62674,,0,0,含增建或未登記建物。；,RPPNMLMKJINFFCJ08CA,165.21,7.11,0,,
竹東鎮,土地,竹東段竹東小段296-33地號,80,住,,,1071031,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1900000,23750,,0,0,本案含未登記建物1棟,RPUNMLNKJINFFCJ68CA,0,0,0,,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮中正南路１２３巷２６弄１號,101,住,,,1070930,土地2建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1051110,265.95,4,3,4,有,有,13700000,51513,一樓平面,0,0,,RPRNMLOKJINFFCJ48CA,250.7,0,15.25,,
橫山鄉,土地,內灣段354地號,207.48,,鄉村區,交通用地,1071017,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,798800,3850,,0,0,瑕疵物件之交易。；土地上存有他人佔用使用及建築建物，買受人須自行處理排除佔用情形，瑕疵物件之交易。,RPPNMLQKJINFFCJ48CA,0,0,0,,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮南寧路９８巷５弄２號四樓,40.69,住,,,1070929,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830730,141.72,3,2,2,有,有,5000000,35281,坡道平面,0,0,,RPPOMLTKJINFFCJ88CA,100.77,0,11.04,,
芎林鄉,土地,竹林段627地號,401.67,,山坡地保育區,丙種建築用地,1070905,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,13000000,32365,,0,0,,RPWPMLLLJINFFCJ98CA,0,0,0,,
芎林鄉,房地(土地+建物),新竹縣芎林鄉綠獅一街８１巷１號,81.11,,鄉村區,乙種建築用地,1070910,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1070713,212.85,4,2,3,有,無,12580000,59103,,0,0,,RPPNMLPLJINFFCJ48CA,204.97,0,7.88,,
橫山鄉,土地,大肚段香園小段198-3地號,1625,,特定農業區,農牧用地,1071017,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,6130000,3772,,0,0,,RPWNMLSLJINFFCJ86CA,0,0,0,,
橫山鄉,土地,沙坑貳段1080地號,437.96,,鄉村區,乙種建築用地,1070906,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,4170000,9521,,0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLPJKINFFCJ56CA,0,0,0,,
湖口鄉,土地,中興段中興小段451地號,165,,工業區,丁種建築用地,1071007,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,11979000,72600,,0,0,,RPPNMLMKJINFFDJ18CA,0,0,0,,
湖口鄉,房地(土地+建物),新竹縣湖口鄉大同路13號,3265,,工業區,丁種建築用地,1070913,土地1建物1車位0,一層，二層，三層，地下層,三層,其他,見其他登記事項,鋼筋混凝土造,,546.96,0,0,0,無,無,180050000,329183,,0,0,建物型態:辦公室,RPPOMLMKJINFFDJ28CA,546.96,0,0,,
